written 0 rows (0 ms)
written 4696000 rows  (996 ms)
written 4704000 rows  (2251 ms)
written 4712000 rows  (1498 ms)
written 4720000 rows  (1200 ms)
written 4728000 rows  (1064 ms)
written 4736000 rows  (1616 ms)
written 4744000 rows  (986 ms)
written 4752000 rows  (1005 ms)
written 4760000 rows  (984 ms)
written 4768000 rows  (1405 ms)
written 4776000 rows  (1003 ms)
written 4784000 rows  (1012 ms)
written 4792000 rows  (992 ms)
written 4800000 rows  (993 ms)
written 4808000 rows  (1111 ms)
written 4816000 rows  (994 ms)
written 4824000 rows  (1014 ms)
written 4832000 rows  (1222 ms)
written 4840000 rows  (1051 ms)
written 4848000 rows  (995 ms)
written 4856000 rows  (992 ms)
written 4864000 rows  (995 ms)
written 4872000 rows  (942 ms)
written 4880000 rows  (992 ms)
written 4888000 rows  (1045 ms)
written 4896000 rows  (1926 ms)
written 4904000 rows  (1025 ms)
written 4912000 rows  (1109 ms)
written 4920000 rows  (1141 ms)
written 4928000 rows  (981 ms)
written 4936000 rows  (1042 ms)
written 4944000 rows  (985 ms)
written 4952000 rows  (973 ms)
written 4960000 rows  (1392 ms)
written 4968000 rows  (1047 ms)
written 4976000 rows  (1003 ms)
written 4984000 rows  (1015 ms)
written 4992000 rows  (990 ms)
written 5000000 rows  (1034 ms)
written 5008000 rows  (1054 ms)
written 5016000 rows  (1007 ms)
written 5024000 rows  (1301 ms)
written 5032000 rows  (1258 ms)
written 5040000 rows  (993 ms)
written 5048000 rows  (997 ms)
written 5056000 rows  (994 ms)
written 5064000 rows  (1015 ms)
written 5072000 rows  (987 ms)
written 5080000 rows  (1030 ms)
written 5088000 rows  (1223 ms)
written 5096000 rows  (1032 ms)
written 5104000 rows  (996 ms)
written 5112000 rows  (1190 ms)
written 5120000 rows  (2634 ms)
written 5128000 rows  (1514 ms)
written 5136000 rows  (1302 ms)
written 5144000 rows  (991 ms)
written 5152000 rows  (1279 ms)
written 5160000 rows  (1070 ms)
written 5168000 rows  (1044 ms)
written 5176000 rows  (1004 ms)
written 5184000 rows  (994 ms)
written 5192000 rows  (1850 ms)
written 5200000 rows  (1711 ms)
written 5208000 rows  (1045 ms)
written 5216000 rows  (1288 ms)
written 5224000 rows  (982 ms)
written 5232000 rows  (1066 ms)
written 5240000 rows  (1162 ms)
written 5248000 rows  (1107 ms)
written 5256000 rows  (982 ms)
written 5264000 rows  (994 ms)
written 5272000 rows  (989 ms)
written 5280000 rows  (1385 ms)
written 5288000 rows  (1184 ms)
written 5296000 rows  (1041 ms)
written 5304000 rows  (1005 ms)
written 5312000 rows  (981 ms)
written 5320000 rows  (1063 ms)
written 5328000 rows  (992 ms)
written 5336000 rows  (994 ms)
written 5344000 rows  (1225 ms)
written 5352000 rows  (995 ms)
written 5360000 rows  (1025 ms)
written 5368000 rows  (1022 ms)
written 5376000 rows  (1088 ms)
written 5384000 rows  (1027 ms)
written 5392000 rows  (1044 ms)
written 5400000 rows  (1474 ms)
written 5408000 rows  (1397 ms)
written 5416000 rows  (1036 ms)
written 5424000 rows  (1021 ms)
written 5432000 rows  (1024 ms)
written 5440000 rows  (996 ms)
written 5448000 rows  (1048 ms)
written 5456000 rows  (985 ms)
written 5464000 rows  (1062 ms)
written 5472000 rows  (1226 ms)
written 5480000 rows  (1001 ms)
written 5488000 rows  (1062 ms)
written 5496000 rows  (1153 ms)
written 5504000 rows  (991 ms)
written 5512000 rows  (995 ms)
written 5520000 rows  (1059 ms)
written 5528000 rows  (1038 ms)
written 5536000 rows  (1282 ms)
written 5544000 rows  (996 ms)
written 5552000 rows  (1003 ms)
written 5560000 rows  (1009 ms)
written 5568000 rows  (984 ms)
written 5576000 rows  (1000 ms)
written 5584000 rows  (1174 ms)
written 5592000 rows  (1150 ms)
written 5600000 rows  (986 ms)
written 5608000 rows  (1324 ms)
written 5616000 rows  (983 ms)
written 5624000 rows  (1174 ms)
written 5632000 rows  (1115 ms)
written 5640000 rows  (1006 ms)
written 5648000 rows  (977 ms)
written 5656000 rows  (1110 ms)
written 5664000 rows  (1127 ms)
written 5672000 rows  (1249 ms)
written 5680000 rows  (1019 ms)
written 5688000 rows  (1151 ms)
written 5696000 rows  (1015 ms)
written 5704000 rows  (1054 ms)
written 5712000 rows  (1010 ms)
written 5720000 rows  (996 ms)
written 5728000 rows  (1268 ms)
written 5736000 rows  (1227 ms)
written 5744000 rows  (1077 ms)
written 5752000 rows  (1043 ms)
written 5760000 rows  (987 ms)
written 5768000 rows  (1223 ms)
written 5776000 rows  (1045 ms)
written 5784000 rows  (987 ms)
written 5792000 rows  (1117 ms)
written 5800000 rows  (1241 ms)
written 5808000 rows  (995 ms)
written 5816000 rows  (1154 ms)
written 5824000 rows  (1097 ms)
written 5832000 rows  (992 ms)
written 5840000 rows  (1035 ms)
written 5848000 rows  (1037 ms)
written 5856000 rows  (1148 ms)
written 5864000 rows  (1277 ms)
written 5872000 rows  (1011 ms)
written 5880000 rows  (1002 ms)
written 5888000 rows  (1127 ms)
written 5896000 rows  (1005 ms)
written 5904000 rows  (1062 ms)
written 5912000 rows  (986 ms)
written 5920000 rows  (1057 ms)
written 5928000 rows  (1394 ms)
written 5936000 rows  (1027 ms)
written 5944000 rows  (1051 ms)
written 5952000 rows  (990 ms)
written 5960000 rows  (999 ms)
written 5968000 rows  (991 ms)
written 5976000 rows  (1016 ms)
written 5984000 rows  (1019 ms)
written 5992000 rows  (1699 ms)
written 6000000 rows  (1019 ms)
written 6008000 rows  (1036 ms)
written 6016000 rows  (1640 ms)
written 6024000 rows  (1008 ms)
written 6032000 rows  (998 ms)
written 6040000 rows  (1004 ms)
written 6048000 rows  (989 ms)
written 6056000 rows  (1279 ms)
written 6064000 rows  (1069 ms)
written 6072000 rows  (999 ms)
written 6080000 rows  (1146 ms)
written 6088000 rows  (985 ms)
written 6096000 rows  (984 ms)
written 6104000 rows  (992 ms)
written 6112000 rows  (978 ms)
written 6120000 rows  (1586 ms)
written 6128000 rows  (1047 ms)
written 6136000 rows  (1076 ms)
written 6144000 rows  (1093 ms)
written 6152000 rows  (1068 ms)
written 6160000 rows  (982 ms)
written 6168000 rows  (998 ms)
written 6176000 rows  (1252 ms)
written 6184000 rows  (1299 ms)
written 6192000 rows  (1075 ms)
written 6200000 rows  (1560 ms)
written 6208000 rows  (1043 ms)
written 6216000 rows  (1020 ms)
written 6224000 rows  (1042 ms)
written 6232000 rows  (1011 ms)
written 6240000 rows  (1098 ms)
written 6248000 rows  (1226 ms)
written 6256000 rows  (1079 ms)
written 6264000 rows  (987 ms)
written 6272000 rows  (1191 ms)
written 6280000 rows  (998 ms)
written 6288000 rows  (1065 ms)
written 6296000 rows  (999 ms)
written 6304000 rows  (1039 ms)
written 6312000 rows  (1227 ms)
written 6320000 rows  (1039 ms)
written 6328000 rows  (1184 ms)
written 6336000 rows  (1146 ms)
written 6344000 rows  (986 ms)
written 6352000 rows  (982 ms)
written 6360000 rows  (1004 ms)
written 6368000 rows  (1124 ms)
written 6376000 rows  (1222 ms)
written 6384000 rows  (1127 ms)
written 6392000 rows  (1025 ms)
written 6400000 rows  (1146 ms)
written 6408000 rows  (1013 ms)
written 6416000 rows  (2246 ms)
written 6424000 rows  (1037 ms)
written 6432000 rows  (1001 ms)
written 6440000 rows  (1309 ms)
written 6448000 rows  (2189 ms)
written 6456000 rows  (980 ms)
written 6464000 rows  (886 ms)
written 6472000 rows  (1104 ms)
written 6480000 rows  (1110 ms)
written 6488000 rows  (989 ms)
written 6496000 rows  (1073 ms)
written 6504000 rows  (1003 ms)
written 6512000 rows  (1213 ms)
written 6520000 rows  (982 ms)
written 6528000 rows  (1014 ms)
written 6536000 rows  (1002 ms)
written 6544000 rows  (1305 ms)
written 6552000 rows  (1243 ms)
written 6560000 rows  (1104 ms)
written 6568000 rows  (1002 ms)
written 6576000 rows  (1225 ms)
written 6584000 rows  (982 ms)
written 6592000 rows  (979 ms)
written 6600000 rows  (1006 ms)
written 6608000 rows  (996 ms)
written 6616000 rows  (1061 ms)
written 6624000 rows  (1115 ms)
written 6632000 rows  (990 ms)
written 6640000 rows  (1709 ms)
written 6648000 rows  (975 ms)
written 6656000 rows  (1109 ms)
written 6664000 rows  (1219 ms)
written 6672000 rows  (979 ms)
